1;978-5-04-157043-9;Мудрость толпы;Аберкромби Дж.;736;2022;фентези;https://www.chitai-gorod.ru/catalog/book/2878738/
2;978-5-91878-478-5;Инквизитор Рейвенор;Абнетт Д.;1280;2021;фантастика;https://www.chitai-gorod.ru/catalog/book/2862812/
3;978-5-17-094610-5;Зов Ктулху;Лавкрафт Г.;480;2020;мистика, ужасы;https://www.chitai-gorod.ru/catalog/book/882256/
4;978-5-04-114265-0;Дракула;Стокер Б.;416;2022;мистика, ужасы;https://www.chitai-gorod.ru/catalog/book/2892588/
5;978-5-91878-542-3;Тьма в крови;Хейли Г.;480;2021;фантастика;https://www.chitai-gorod.ru/catalog/book/2890025/
6;978-5-04-154880-3;451 по Фаренгейту;Брэдбери Р.;320;2022;антиутопия;https://www.chitai-gorod.ru/catalog/book/2889389/
7;978-5-389-08793-4;Нейромант;Гибсон У.;480;2015;фантастика;https://www.chitai-gorod.ru/catalog/book/793087/
8;978-5-17-144976-6;Сияние;Кинг С.;608;2021;мистка, ужасы;https://www.chitai-gorod.ru/catalog/book/2884378/
9;978-5-17-118639-5;Трудно быть богом;Стругацкие А. и Б.;224;2021;фентези;https://www.chitai-gorod.ru/catalog/book/1216863/
10;978-5-04-089112-2;Задача трех тел;Лю Цысинь;464;2020;фантастика;https://www.chitai-gorod.ru/catalog/book/1007290/
